Month,DayOfWeek,UniqueCarrier,AirTime,Dest,IsDepDelay,IsArrDelay,DepHourLocal,OriginAirTemp,OriginAirPressure,OriginWindSpeed,OriginSkyCoverage,OriginPrecip1,DestAirTemp,DestAirPressure,DestWindSpeed,DestSkyCoverage,DestPrecip1
4,7,YV,23.0,BMI,False,False,10,150,24,113.0,7.0,0.0,172,43,165.0,2.0,
6,5,UA,,SMF,False,False,19,211,213,57.0,8.0,0.0,294,9999,41.0,7.0,
1,3,AA,245.0,SJU,True,True,14,144,6,62.0,7.0,0.0,250,170,51.0,4.0,3.0
9,5,UA,106.0,PVD,False,False,21,250,106,21.0,4.0,0.0,250,193,57.0,0.0,0.0
10,2,AA,231.0,SNA,False,False,0,39,243,15.0,2.0,0.0,160,142,15.0,0.0,
6,2,UA,197.0,LAS,False,False,15,283,161,57.0,,0.0,417,9999,52.0,,0.0
6,7,UA,148.0,SAT,False,False,0,144,229,0.0,0.0,0.0,233,140,36.0,8.0,0.0
8,1,UA,,STL,False,False,22,261,226,46.0,0.0,0.0,278,202,52.0,6.0,0.0
8,4,CO,,EWR,False,False,11,217,187,52.0,7.0,0.0,289,141,41.0,2.0,0.0
2,2,AA,118.0,DFW,True,True,14,17,66,57.0,8.0,0.0,161,234,72.0,0.0,0.0
11,6,UA,242.0,SAN,False,False,15,111,93,21.0,8.0,0.0,167,150,72.0,0.0,0.0
7,7,UA,146.0,MIA,False,True,12,306,114,26.0,4.0,0.0,311,170,36.0,7.0,0.0
4,5,US,,CLT,False,False,17,128,60,72.0,7.0,0.0,150,48,52.0,8.0,18.0
9,3,UA,45.0,CLE,False,False,22,256,92,67.0,4.0,0.0,272,89,26.0,0.0,0.0
1,3,AA,114.0,MCO,True,True,18,-22,110,82.0,8.0,0.0,178,173,21.0,2.0,0.0
7,2,AA,85.0,DCA,True,True,17,250,113,15.0,8.0,0.0,300,187,51.0,7.0,0.0
11,7,UA,,PHL,False,False,20,100,150,52.0,0.0,0.0,106,179,41.0,4.0,0.0
5,2,UA,186.0,LAS,False,False,8,122,59,72.0,4.0,0.0,311,153,36.0,0.0,0.0
5,1,UA,113.0,BOS,False,False,17,206,164,62.0,7.0,0.0,172,158,62.0,2.0,0.0
9,1,MQ,84.0,CLT,False,False,9,200,114,46.0,8.0,0.0,244,149,0.0,,0.0
5,1,AA,124.0,AUS,True,True,11,222,177,57.0,8.0,0.0,278,167,31.0,7.0,0.0
12,1,AA,,MSP,True,True,9,-28,343,26.0,8.0,8.0,-78,258,57.0,8.0,13.0
9,1,OO,74.0,AVP,False,False,21,128,189,46.0,8.0,46.0,233,194,15.0,0.0,0.0
10,5,UA,119.0,LGA,True,True,18,128,294,51.0,7.0,0.0,144,287,67.0,8.0,0.0
